#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESC_JD_10020;When I first did not hear anything from [adventurous_spirit.GetTitledFirstName], I simply assumed that [adventurous_spirit.GetHerHis] journey back home had been delayed. Sadly, I have now formally received word from [the_protector_general.GetTitledName] of [adventurous_spirit.GetHerHis] passing.;Au début, lorsque je n'avais plus de nouvelles [adventurous_spirit.Get_du_Title][adventurous_spirit.GetTitledFirstName], j'ai simplement pensé que son voyage de retour avait été reporté. Malheureusement, j'ai appris [the_protector_general.GetDuDela] [the_protector_general.GetTitledName] qu'[adventurous_spirit.GetIlElle] a trépassé.;Als ich zuerst nichts von [adventurous_spirit.GetTitledFirstName] hörte, dachte ich einfach, dass [adventurous_spirit.GetSheHe] sich bei der Reise nach Hause verspätete. Leider habe ich nun eine Nachricht von [the_protector_general.GetTitledName] erhalten, dass [adventurous_spirit.GetSheHe] verstorben ist.;;Al no saber nada de [adventurous_spirit.GetTitledFirstName], supuse que había retrasado su viaje. Por desgracia, [the_protector_general.GetTitledName] acaba de informarme oficialmente de su fallecimiento.;;;;;x;;;;
china_physician_cd;§YSent a Physician§!;§YA envoyé un physicien§!;§YArzt entsenden§!;;§Yenviaste un médico§!;;;;;;;;;x
china_physician_cd_desc;You have already sent a Physician to China, you will not be able to send another one.;Vous avez déjà envoyé un physicien à la Chine et ne pourrez plus en envoyer d'autres.;Ihr habt bereits einen Arzt nach China entsendet und könnt keinen weiteren senden;;Ya has enviado un médico a China, no podrás enviar otro.;;;;;;;;;x
temple_barony_of_taoist;Temple of;Temple de;Tempel von;;Templo de;;;;;;;;;x
kow_tow_travels_death;during a journey to the Chinese Empire;durant un voyage dans l'Empire chinois;starb während einer Reise ins Chinesische Reich;;en un viaje al imperio chino;;;;;;;;;x
EVT_DESC_JD_60314;The [From.GetTitle] of the [From.Offmap.Ruler.GetChineseComplimentAdjective] [From.Offmap.Ruler.GetTitle] addresses a letter to the [Root.GetTitle] of the [Root.PrimaryTitle.GetFullName].\n\nYou squander the gifts of the heavenly [From.Offmap.Ruler.GetLongChineseEmperorName]. We know that the death of [FromFrom.GetChineseCharacterRole] [FromFrom.GetTitledName] was by your hands. Do not think that the [From.Offmap.Ruler.GetTitle] will look lightly upon this.;Le [From.GetTitle] de l'[From.Offmap.Ruler.GetTitle] [From.Offmap.Ruler.GetChineseComplimentAdjective] adresse une lettre [Root.Get_au_Title][Root.GetTitle] [Root.PrimaryTitle.Get_du_RealmFull][Root.PrimaryTitle.GetFullName].\n\nVous avez gaspillé le cadeau de l'[From.Offmap.Ruler.GetLongChineseEmperorName]. Nous savons que la mort de votre [FromFrom.GetChineseCharacterRole] [FromFrom.GetTitledName] est de votre fait. N'imaginez pas que l'[From.Offmap.Ruler.GetTitle] prendra ceci à la légère.;[From.GetDerDie] [From.GetTitle] des [From.Offmap.Ruler.GetChineseComplimentAdjective]en [From.Offmap.Ruler.GetTitle] addressiert einen Brief an [Root.Getdendie] [Root.GetTitle] von [Root.PrimaryTitle.GetFullName].\n\nIhr vergeudet die Geschenkte [From.Offmap.Ruler.Getdesder] [From.Offmap.Ruler.GetLongChineseEmperorName][From.Offmap.Ruler.GetsMale]. Wir wissen, dass der Tod von [FromFrom.GetChineseCharacterRole] [FromFrom.GetTitledName] durch Eure Hände stattfand. Glaubt nicht, dass [From.Offmap.Ruler.Getderdie] [From.Offmap.Ruler.GetTitle] dies hinnehmen wird.;;El [From.GetTitle] del [From.Offmap.Ruler.GetChineseComplimentAdjective] [From.Offmap.Ruler.GetTitle] envía una carta al [Root.GetTitle] del [Root.PrimaryTitle.GetFullName].\n\nDerrochas los regalos del celestial [From.Offmap.Ruler.GetLongChineseEmperorName]. Hemos sabido que [FromFrom.GetChineseCharacterRole] [FromFrom.GetTitledName] murió a tus manos. No creas que el [From.Offmap.Ruler.GetTitle] se tomará esto a la ligera.;;;;;;;;;x
hostages_random_imprisonment_tt;You will imprison a random §YClose Relative§! of the target.;Vous emprisonnerez un §Yproche parent§! aléatoire de la cible.;Ihr sperrt einen zufälligen §Ynahen Verwandten§! des Ziels ein.;;Encarcelas a un §Ypariente cercano§! cualquiera del objetivo.;;;;;;;;;x
NOT_PACIFIED_BY_LIEGE_DATELESS;Not pacified by liege;Non pacifié par le seigneur lige;Nicht durch Lehnsherr befriedet;;No pacificado por su señor;;;;;;;;;x
RULES_ACHIEVEMENT_REQUIRE_NO_RULER_DESIGNER;The §YRuler Designer§! cannot be used;Le §Ycréateur de personnage§! ne peut pas être utilisé;Der §YHerrscher-Baukasten§! kann nicht benutzt werden;;No se puede usar el §YDiseñador de gobernante§!;;;;;;;;;x
IRONMAN_MODE_RULER_DESIGNER_DESC;The Ruler Designer is active, disabling achievements;Le créateur de personnage est actif, ce qui désactive les Succès Steam;Der Herrscher-Baukasten ist aktiv und deaktiviert Errungenschaften;;El Diseñador de gobernante está activo, lo que desactiva los logros.;;;;;;;;;x
REQUIREMENTS_HEADER;§YRequirements§!:;§YPrérequis§!:;§YAnforderungen§!:;;§YRequisitos§!:;;;;;;;;;x
OLD_SAVE_WARNING;§YThis save is old, and may have a variety of issues as a result§!;§YCette sauvegarde est ancienne et pourrait causer des problèmes§!;§YDieser Speicherstand ist alt und kann zu Problemen führen§!;;§YEsta partida guardada es antigua y por tanto puede haber una serie de problemas§!;;;;;;;;;x
TRADE_ROUTE_GLOBAL_VALUE_CHANGED;External factors chage the value of this trade route by $VALUE|+0%$.;Des facteurs externes modifient la valeur de cette route commerciale de $VALUE|+0%$.;Externe Faktoren ändern den Wert dieser Handelsroute um $VALUE|+0%$.;;Factores externos cambian el valor de esta ruta comercial en $VALUE| +0%$;;;;;;;;;x
NOT_ALLOWED_TO_PLAY_SAME_CHARACTER;Not allowed to play the same character as another player;Non autorisé à jouer le même personnage qu'un autre joueur;Es ist nicht erlaubt, den gleichen Charakter wie ein anderer Spieler zu spielen;;No se permite jugar con el mismo personaje como otro jugador;;;;;;;;;x
chinese_grace_become_tributary_desc;Pledge your allegiance to §Y[Root.Offmap.Ruler.GetMediumChineseEmperorName]§!.;Jurer allégeance à l'§Y[Root.Offmap.Ruler.GetMediumChineseEmperorName]§!.;Schwört §Y[Root.Offmap.Ruler.GetMediumChineseEmperorName]§! die Treue.;;Jura lealtad a §Y[Root.Offmap.Ruler.GetMediumChineseEmperorName]§!.;;;;;;;;;x
